gene	mean_expr	CV	log2FC	padj	description
g9469	6053.4	0.1518	-0.129	0.8681	sp|P22843|H3_ACRFO Histone H3 OS=Acropora formosa OX=126732 PE=1 SV=2
g5698	7896.2	0.3124	0.454	0.3877	sp|P09204|TBA1_CHLRE Tubulin alpha-1 chain OS=Chlamydomonas reinhardtii OX=3055 GN=TUBA1 PE=1 SV=1
g3564	7429.2	0.2747	0.018	0.9848	sp|P31327|CPSM_HUMAN Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2
g10839	5581.9	0.1256	-0.111	0.9119	sp|P68172|SAHH_NICSY Adenosylhomocysteinase OS=Nicotiana sylvestris OX=4096 GN=SAHH PE=2 SV=1
g2184	7223.4	0.2774	-0.315	0.4825	sp|O59841|G3P_OGAPD Glyceraldehyde-3-phosphate dehydrogenase OS=Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) OX=871575 GN=GPD PE=3 SV=2
g7519	5119.1	0.1091	0.163	0.8058	
g15924	6797.6	0.2548	0.073	0.9349	sp|Q54JE4|ODO1_DICDI 2-oxoglutarate dehydrogenase, mitochondrial OS=Dictyostelium discoideum OX=44689 GN=ogdh PE=3 SV=1
g2400	5469.6	0.1401	-0.150	0.8313	sp|A6XMY9|METK1_TRIMO S-adenosylmethionine synthase 1 OS=Triticum monococcum OX=4568 GN=SAMS1 PE=2 SV=1
g15277	5337.4	0.1293	0.304	0.4338	sp|D3ZH22|SWET1_RAT Sugar transporter SWEET1 OS=Rattus norvegicus OX=10116 GN=Slc50a1 PE=1 SV=1
g15631	5721.1	0.1631	0.018	0.9849	
g4979	6240.2	0.2123	0.068	0.9614	
g6042	7232.8	0.3008	-0.392	0.3486	sp|Q4WPF8|CCPR_ASPFU Cytochrome c peroxidase, mitochondrial OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=ccp1 PE=3 SV=1
g12183	7770.8	0.3510	-0.143	0.8152	sp|P32198|CPT1A_RAT Carnitine O-palmitoyltransferase 1, liver isoform OS=Rattus norvegicus OX=10116 GN=Cpt1a PE=1 SV=2
g13480	4974.1	0.1050	0.130	0.8703	sp|Q8WY64|MYLIP_HUMAN E3 ubiquitin-protein ligase MYLIP OS=Homo sapiens OX=9606 GN=MYLIP PE=1 SV=2
g7143	5425.3	0.1449	-0.017	0.9848	
g4386	5673.7	0.1678	0.222	0.6903	
g13635	8130.2	0.3852	-0.080	0.9600	sp|Q9SZ83|Y4967_ARATH Uncharacterized oxidoreductase At4g09670 OS=Arabidopsis thaliana OX=3702 GN=At4g09670 PE=1 SV=1
g1098	6016.2	0.1989	-0.453	0.1412	sp|Q67ZM4|ADF7_ARATH Actin-depolymerizing factor 7 OS=Arabidopsis thaliana OX=3702 GN=ADF7 PE=2 SV=1
g376	9287.8	0.4894	0.311	0.5861	
g11205	5057.4	0.1149	0.054	0.9487	sp|Q9FT51|AB27G_ARATH ABC transporter G family member 27 OS=Arabidopsis thaliana OX=3702 GN=ABCG27 PE=2 SV=1
g11898	6456.1	0.2432	0.006	0.9955	
g7899	9769.5	0.5427	-0.555	0.8585	sp|Q50568|FDHC_METTF Probable formate transporter OS=Methanothermobacter thermautotrophicus OX=145262 GN=fdhC PE=3 SV=1
g258	5560.8	0.1686	0.247	0.6366	sp|Q9HXV3|CAPP_PSEAE Phosphoenolpyruvate carboxylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=ppc PE=3 SV=1
g7480	5805.9	0.1934	-0.083	0.9165	sp|B7G620|IDH1_PHATC Isocitrate dehydrogenase [NAD(+)] 1, mitochondrial OS=Phaeodactylum tricornutum (strain CCAP 1055/1) OX=556484 GN=IDH1 PE=1 SV=2
g7086	4758.6	0.0996	-0.119	0.8668	sp|O23087|ECA2_ARATH Calcium-transporting ATPase 2, endoplasmic reticulum-type OS=Arabidopsis thaliana OX=3702 GN=ECA2 PE=1 SV=1
g9995	5176.6	0.1386	0.313	0.3974	sp|Q304B9|NCER2_ARATH Neutral ceramidase 2 OS=Arabidopsis thaliana OX=3702 GN=NCER2 PE=3 SV=1
g2576	9169.2	0.5048	-0.513	0.2949	sp|P22944|NIR_EMENI Nitrite reductase [NAD(P)H] OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=niiA PE=3 SV=2
g5136	8466.8	0.4426	0.576	0.1509	sp|F4P6T0|AOX_BATDJ Ubiquinol oxidase, mitochondrial OS=Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) OX=684364 GN=AOX PE=3 SV=1
g15729	8892.3	0.4899	-0.103	0.9272	
g12579	6310.7	0.2744	0.018	0.9849	sp|Q0QHL3|CISY_GLOMM Probable citrate synthase, mitochondrial OS=Glossina morsitans morsitans OX=37546 PE=2 SV=1
g7435	7581.7	0.3982	0.374	0.4742	
g12156	6121.8	0.2589	-0.269	0.4742	sp|Q32P51|RA1L2_HUMAN Heterogeneous nuclear ribonucleoprotein A1-like 2 OS=Homo sapiens OX=9606 GN=HNRNPA1L2 PE=1 SV=2
g14268	6528.3	0.3112	0.254	0.5336	
g2159	4932.6	0.1625	0.357	0.4297	sp|C0HLB3|VATL2_CAEEL V-type proton ATPase 16 kDa proteolipid subunit c 2 OS=Caenorhabditis elegans OX=6239 GN=vha-2 PE=2 SV=1
g13368	5355.8	0.2071	0.220	0.6777	
g10772	6189.8	0.2945	-0.322	0.4214	sp|O02640|MDHM_CAEEL Malate dehydrogenase, mitochondrial OS=Caenorhabditis elegans OX=6239 GN=mdh-2 PE=1 SV=1
g12433	7788.2	0.4611	0.601	0.0559	
g15845	4947.9	0.1714	0.467	0.0699	
g14216	10761.6	0.7672	0.825	0.0603	sp|P74572|P5CR_SYNY3 Pyrroline-5-carboxylate reductase OS=Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa) OX=1111708 GN=proC PE=3 SV=1
g7178	4909.5	0.1700	0.481	0.0510	
g9516	4437.5	0.1235	-0.141	0.8162	sp|Q99002|1433_TRIHA 14-3-3 protein homolog OS=Trichoderma harzianum OX=5544 PE=2 SV=1
g4716	4242.8	0.1050	-0.032	0.9742	sp|Q93VR3|GME_ARATH GDP-mannose 3,5-epimerase OS=Arabidopsis thaliana OX=3702 GN=At5g28840 PE=1 SV=1
g14914	6622.8	0.3535	0.344	0.5885	sp|P52551|MYBB_XENLA Myb-related protein B OS=Xenopus laevis OX=8355 GN=mybl2 PE=2 SV=2
g904	5546.6	0.2424	-0.155	0.7750	sp|Q9P6P3|PPK15_SCHPO Serine/threonine-protein kinase ppk15 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ppk15 PE=1 SV=1
g8699	5492.0	0.2463	0.488	0.0696	
g1477	5133.7	0.2101	-0.188	0.7257	
g13904	3841.5	0.0888	-0.033	0.9696	sp|Q9LIC2|TMN7_ARATH Transmembrane 9 superfamily member 7 OS=Arabidopsis thaliana OX=3702 GN=TMN7 PE=2 SV=1
g10537	4563.2	0.1701	-0.324	0.5298	sp|Q14679|TTLL4_HUMAN Tubulin monoglutamylase TTLL4 OS=Homo sapiens OX=9606 GN=TTLL4 PE=1 SV=2
g14332	4149.9	0.1288	0.243	0.6264	sp|P00028|CYC_ENTTR Cytochrome c OS=Entosphenus tridentatus OX=245074 GN=cyc PE=1 SV=2
g1343	9000.0	0.6739	0.139	0.8563	sp|A0A1B3PEI9|PFA3_THRS2 Polyunsaturated fatty acid synthase subunit C OS=Thraustochytrium sp. (strain ATCC 26185 / S-3) OX=672127 GN=ORF-C PE=1 SV=1
g174	11042.4	0.9239	0.066	0.9519	
g15769	4020.5	0.1244	0.240	0.5517	sp|Q9M5K3|DLDH1_ARATH Dihydrolipoyl dehydrogenase 1, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=LPD1 PE=1 SV=2
g12259	3701.5	0.0886	-0.119	0.8703	sp|C4R7Z3|C9MT_KOMPG Sphingolipid C9-methyltransferase OS=Komagataella phaffii (strain GS115 / ATCC 20864) OX=644223 GN=PAS_chr4_0465 PE=1 SV=1
g5105	10056.3	0.8135	-0.487	0.0832	sp|Q9LT15|STP10_ARATH Sugar transport protein 10 OS=Arabidopsis thaliana OX=3702 GN=STP10 PE=1 SV=1
g13594	4067.3	0.1397	0.078	0.9277	sp|Q96ST3|SIN3A_HUMAN Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2
g12084	6966.5	0.4772	0.556	0.2036	sp|P80944|ZFX_PIG Zinc finger X-chromosomal protein (Fragment) OS=Sus scrofa OX=9823 GN=ZFX PE=3 SV=1
g15457	3772.6	0.1123	-0.136	0.8503	
g2578	6586.0	0.4463	-0.389	0.3226	sp|P17571|NIA1_MAIZE Nitrate reductase [NADH] 1 (Fragment) OS=Zea mays OX=4577 GN=NNR1 PE=1 SV=2
g15502	3993.6	0.1413	0.375	0.1890	sp|Q9NR09|BIRC6_HUMAN Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6 OS=Homo sapiens OX=9606 GN=BIRC6 PE=1 SV=3
g10257	6998.1	0.5016	0.488	0.3069	sp|Q6NCY4|DNAK_RHOPA Chaperone protein DnaK OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) OX=258594 GN=dnaK PE=3 SV=1
g11042	3647.1	0.1058	0.224	0.6076	
g11063	5406.5	0.3188	-0.395	0.3531	sp|Q54WR9|GLNA3_DICDI Type-3 glutamine synthetase OS=Dictyostelium discoideum OX=44689 GN=glnA3 PE=1 SV=1
g15693	4357.8	0.2047	0.277	0.4633	sp|P54644|KRAC_DICDI RAC family serine/threonine-protein kinase homolog OS=Dictyostelium discoideum OX=44689 GN=pkbA PE=1 SV=1
g1554	3521.4	0.1064	0.061	0.9450	sp|Q57UP6|ELO3_TRYB2 Fatty acid elongase 3 OS=Trypanosoma brucei brucei (strain 927/4 GUTat10.1) OX=185431 GN=ELO3 PE=1 SV=1
g9941	4185.5	0.1896	0.341	0.3464	sp|Q8HXP5|SODM_HYLLA Superoxide dismutase [Mn], mitochondrial OS=Hylobates lar OX=9580 GN=SOD2 PE=2 SV=2
g2259	3743.6	0.1366	0.092	0.9177	sp|Q9FWR2|AVPX_ARATH Pyrophosphate-energized membrane proton pump 3 OS=Arabidopsis thaliana OX=3702 GN=AVPL2 PE=3 SV=1
g5974	3164.3	0.0747	0.022	0.9811	sp|O88491|NSD1_MOUSE Histone-lysine N-methyltransferase, H3 lysine-36 specific OS=Mus musculus OX=10090 GN=Nsd1 PE=1 SV=1
g15737	4061.0	0.1969	-0.463	0.1194	sp|Q86C65|TOR_DICDI Serine/threonine-protein kinase tor OS=Dictyostelium discoideum OX=44689 GN=tor PE=1 SV=1
g9917	4052.5	0.1968	0.526	0.0663	
g12704	4436.1	0.2476	0.466	0.0737	sp|P52710|CBPY_KOMPG Carboxypeptidase Y OS=Komagataella phaffii (strain GS115 / ATCC 20864) OX=644223 GN=PRC1 PE=1 SV=1
g15920	4791.9	0.2955	-0.676	0.2413	
g10585	4118.8	0.2110	0.174	0.7557	
g11300	4598.1	0.2747	0.096	0.9055	sp|P16120|THRC_YEAST Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THR4 PE=1 SV=1
g2555	3294.2	0.1042	0.116	0.8609	sp|O17040|HACD_CAEEL Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8 OS=Caenorhabditis elegans OX=6239 GN=hpo-8 PE=3 SV=2
g11134	3690.1	0.1608	-0.076	0.9230	sp|Q84L08|GFT1_ARATH GDP-fucose transporter 1 OS=Arabidopsis thaliana OX=3702 GN=GFT1 PE=1 SV=1
g3451	3726.8	0.1718	0.124	0.8562	
g8517	4441.1	0.2728	-0.118	0.9138	sp|Q54I98|SMT1_DICDI Probable cycloartenol-C-24-methyltransferase 1 OS=Dictyostelium discoideum OX=44689 GN=smt1 PE=1 SV=1
g9880	3779.4	0.1828	0.133	0.8226	sp|D1Z5G1|MIC60_SORMK MICOS complex subunit MIC60 OS=Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell) OX=771870 GN=MIC60 PE=3 SV=1
g12289	5645.3	0.4397	0.197	0.7644	sp|P35684|RL3_ORYSJ Large ribosomal subunit protein uL3 OS=Oryza sativa subsp. japonica OX=39947 GN=RPL3 PE=2 SV=2
g11022	6095.4	0.5075	0.869	0.0561	sp|Q03684|BIP4_TOBAC Luminal-binding protein 4 OS=Nicotiana tabacum OX=4097 GN=BIP4 PE=2 SV=1
g4700	4413.1	0.2777	0.094	0.9036	sp|Q9DCW4|ETFB_MOUSE Electron transfer flavoprotein subunit beta OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=3
g9438	3372.4	0.1350	-0.120	0.8857	sp|A0A1S3C4H6|IF4G_CUCME Eukaryotic translation initiation factor 4G OS=Cucumis melo OX=3656 GN=eIF4G PE=1 SV=1
g13692	3423.4	0.1430	0.310	0.5180	sp|Q2KHX4|S61A2_BOVIN Protein transport protein Sec61 subunit alpha isoform 2 OS=Bos taurus OX=9913 GN=SEC61A2 PE=2 SV=3
g35	3674.6	0.1826	0.137	0.8890	sp|P25867|UBCD1_DROME Ubiquitin-conjugating enzyme E2-17 kDa OS=Drosophila melanogaster OX=7227 GN=eff PE=1 SV=1
g13439	4177.0	0.2555	-0.521	0.0756	sp|Q42290|MPPB_ARATH Probable mitochondrial-processing peptidase subunit beta, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MPPbeta PE=1 SV=2
g2486	3670.9	0.1876	0.335	0.3603	sp|A7S4N4|SERIC_NEMVE Probable serine incorporator OS=Nematostella vectensis OX=45351 GN=serinc PE=3 SV=1
g10312	3592.1	0.1804	0.011	0.9923	
g11881	3746.9	0.2044	-0.046	0.9625	sp|Q0JHU7|MB3R2_ORYSJ Transcription factor MYB3R-2 OS=Oryza sativa subsp. japonica OX=39947 GN=MYB3R-2 PE=2 SV=1
g7997	3985.0	0.2419	-0.630	0.0557	sp|Q0IIY2|WSCD1_XENTR Sialate:O-sulfotransferase 1 OS=Xenopus tropicalis OX=8364 GN=wscd1 PE=2 SV=1
g15922	3936.1	0.2360	-0.521	0.2471	
g9582	5094.6	0.4041	0.207	0.6794	sp|A3SI50|DMDC_ROSNI 3-methylmercaptopropionyl-CoA dehydrogenase OS=Roseovarius nubinhibens (strain ATCC BAA-591 / DSM 15170 / ISM) OX=89187 GN=dmdC PE=1 SV=1
g14039	3430.3	0.1643	0.093	0.9120	sp|Q9LZD4|RAE1D_ARATH Ras-related protein RABE1d OS=Arabidopsis thaliana OX=3702 GN=RABE1D PE=1 SV=1
g8912	3268.4	0.1424	-0.147	0.8406	
g11254	4792.0	0.3697	0.246	0.7173	
g1075	4099.3	0.2721	0.126	0.8751	sp|Q0V6P9|MET3_PHANO Sulfate adenylyltransferase OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) OX=321614 GN=MET3 PE=3 SV=1
g15339	2967.1	0.1059	-0.018	0.9848	sp|F4K2M8|JMJ31_ARATH Lysine-specific demethylase JMJ31 OS=Arabidopsis thaliana OX=3702 GN=JMJ31 PE=2 SV=1
g6430	3091.2	0.1243	-0.024	0.9827	sp|P23254|TKT1_YEAST Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL1 PE=1 SV=4
g10990	3193.8	0.1444	0.189	0.7707	sp|P79781|RS27A_CHICK Ubiquitin-ribosomal protein eS31 fusion protein OS=Gallus gallus OX=9031 GN=RPS27A PE=1 SV=3
g5973	3300.8	0.1628	0.051	0.9614	sp|Q9SUD3|CX6B3_ARATH Cytochrome c oxidase subunit 6b-3 OS=Arabidopsis thaliana OX=3702 GN=COX6B-3 PE=2 SV=2
g8769	2939.7	0.1089	0.030	0.9755	sp|Q9SS17|RS241_ARATH Small ribosomal subunit protein eS24z OS=Arabidopsis thaliana OX=3702 GN=RPS24A PE=2 SV=1
g658	3977.1	0.2711	-0.360	0.4852	sp|P11024|NNTM_BOVIN NAD(P) transhydrogenase, mitochondrial OS=Bos taurus OX=9913 GN=NNT PE=1 SV=3
g7372	2922.9	0.1115	0.139	0.8191	sp|Q68FD5|CLH1_MOUSE Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3
g6254	3309.7	0.1723	-0.273	0.6229	
g9558	2461.8	0.0453	0.050	0.9550	sp|B2J427|GCSP_NOSP7 Glycine dehydrogenase (decarboxylating) OS=Nostoc punctiforme (strain ATCC 29133 / PCC 73102) OX=63737 GN=gcvP PE=3 SV=1
g4329	4025.0	0.2881	0.116	0.9036	
g15283	4933.3	0.4286	-0.784	0.2838	
g9721	2802.5	0.1012	0.129	0.8394	sp|Q54E04|VATM_DICDI Vacuolar proton translocating ATPase 100 kDa subunit OS=Dictyostelium discoideum OX=44689 GN=vatM PE=1 SV=2
g9531	4352.0	0.3428	0.272	0.5467	sp|Q9PTJ6|CTDSL_CHICK CTD small phosphatase-like protein OS=Gallus gallus OX=9031 GN=NFI1 PE=2 SV=2
g9135	4628.3	0.3869	-0.134	0.9021	sp|Q27655|ENO_FASHE Enolase OS=Fasciola hepatica OX=6192 GN=ENO PE=2 SV=1
g13935	3389.2	0.1967	0.254	0.6280	sp|Q4P331|IF4A_MYCMD ATP-dependent RNA helicase eIF4A OS=Mycosarcoma maydis OX=5270 GN=TIF1 PE=3 SV=1
g3657	2589.8	0.0791	0.116	0.8824	sp|Q86A72|Y4781_DICDI Recoverin family protein DDB_G0274781 OS=Dictyostelium discoideum OX=44689 GN=DDB_G0274781 PE=3 SV=1
g319	4465.9	0.3837	-0.402	0.1439	sp|O22854|ETFD_ARATH Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ETFQO PE=2 SV=1
g8075	3347.6	0.2056	-0.518	0.0514	sp|Q5TYS5|SCRN2_DANRE Secernin-2 OS=Danio rerio OX=7955 GN=scrn2 PE=2 SV=1
g12626	4842.6	0.4518	0.294	0.6756	sp|P29197|CH60A_ARATH Chaperonin CPN60, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CPN60 PE=1 SV=2
g4843	2768.0	0.1158	0.191	0.7173	sp|P47808|MYSH_ACACA High molecular weight form of myosin-1 OS=Acanthamoeba castellanii OX=5755 PE=3 SV=1
g90	4383.2	0.3786	-0.168	0.7984	sp|Q9HZP7|ETFA_PSEAE Electron transfer flavoprotein subunit alpha OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=etfA PE=3 SV=1
g7563	3499.0	0.2350	0.070	0.9508	sp|Q9LK29|CYC1A_ARATH Cytochrome c1 1, heme protein, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CYC1-1 PE=1 SV=1
g8026	5114.7	0.5013	0.341	0.6650	
