gene	scaf	strand	n_exons	n_introns	utr5_start	utr5_end	utr5_len	utr3_start	utr3_end	utr3_len	n_utr5_introns	first_intron_start	first_intron_end
g11446	Scaffolds_29	-	2	1			0			0	0	3166319	3166762
g8700	Scaffolds_23	-	4	3	1499440	1500495	1056			0	0	1465920	1465971
g919	Scaffolds_10	-	1	0			0			0	0		
g12521	Scaffolds_31	-	1	0			0			0	0		
g6630	Scaffolds_20	-	1	0			0			0	0		
g10324	Scaffolds_27	-	1	0			0			0	0		
g10511	Scaffolds_28	+	1	0			0	670032	670140	109	0		
g13341	Scaffolds_33	+	1	0			0			0	0		
g7840	Scaffolds_22	+	2	1			0	267638	268014	377	0	265029	265095
g10478	Scaffolds_28	-	1	0			0			0	0		
g11561	Scaffolds_3	-	8	7			0			0	0	369372	370771
g2102	Scaffolds_14	+	4	3			0	129556	129952	397	0	128399	128527
g15046	Scaffolds_6	+	1	0			0			0	0		
g9692	Scaffolds_25	+	1	0			0	1372278	1372359	82	0		
g9469	Scaffolds_25	+	4	3			0	534442	534664	223	0	532673	532733
g5698	Scaffolds_19	-	1	0	1306157	1306190	34			0	0		
g3564	Scaffolds_16	-	1	0	765744	765971	228			0	0		
g10839	Scaffolds_29	-	1	0			0			0	0		
g2184	Scaffolds_14	+	1	0			0			0	0		
g7519	Scaffolds_21	+	1	0			0			0	0		
g15924	Scaffolds_9	-	1	0			0			0	0		
g2400	Scaffolds_14	-	2	1			0			0	0	1174303	1174948
g15277	Scaffolds_7	+	1	0			0	279901	281355	1455	0		
g15631	Scaffolds_8	-	1	0			0			0	0		
g4979	Scaffolds_18	+	1	0			0			0	0		
g6042	Scaffolds_19	-	1	0			0			0	0		
g12183	Scaffolds_31	-	3	2			0			0	0	41886	41972
g13480	Scaffolds_33	+	1	0			0			0	0		
g7143	Scaffolds_21	+	1	0			0			0	0		
g4386	Scaffolds_18	-	1	0			0			0	0		
g13635	Scaffolds_4	+	1	0			0			0	0		
g1098	Scaffolds_10	-	2	1			0			0	0	985459	986558
g376	Scaffolds_0	-	1	0	1423499	1423752	254			0	0		
g11205	Scaffolds_29	+	3	2			0	2298590	2298961	372	0	2296278	2296445
g11898	Scaffolds_3	+	1	0			0			0	0		
g7899	Scaffolds_22	-	1	0			0			0	0		
g258	Scaffolds_0	+	1	0			0			0	0		
g7480	Scaffolds_21	+	1	0			0			0	0		
g7086	Scaffolds_21	+	1	0			0			0	0		
g9995	Scaffolds_26	+	1	0			0			0	0		
g2576	Scaffolds_14	-	1	0			0			0	0		
g5136	Scaffolds_18	+	1	0			0			0	0		
g15729	Scaffolds_8	+	4	3			0	1400870	1401560	691	0	1396087	1396158
g12579	Scaffolds_32	+	3	2			0	185922	186054	133	0	183347	183486
g7435	Scaffolds_21	+	2	1			0	1493480	1494897	1418	0	1492591	1492905
g12156	Scaffolds_30	+	1	0			0			0	0		
g14268	Scaffolds_4	-	1	0	2536788	2536879	92			0	0		
g2159	Scaffolds_14	+	5	4			0	326396	326535	140	0	325059	325263
g13368	Scaffolds_33	+	2	1			0			0	0	2156954	2157112
g10772	Scaffolds_29	-	2	1	633090	633150	61			0	0	632486	632915
g12433	Scaffolds_31	-	5	4			0			0	0	937211	937453
g15845	Scaffolds_9	-	1	0			0			0	0		
g14216	Scaffolds_4	-	1	0			0			0	0		
g7178	Scaffolds_21	+	1	0			0			0	0		
g9516	Scaffolds_25	-	4	3			0			0	0	718148	718373
g4716	Scaffolds_18	-	3	2			0			0	0	1743614	1744488
g14914	Scaffolds_5	+	2	1			0	1303241	1303855	615	0	1301067	1301176
g904	Scaffolds_10	-	4	3			0			0	0	282703	282749
g8699	Scaffolds_23	-	6	5	1414401	1414574	174			0	0	1404846	1405031
g1477	Scaffolds_11	+	1	0			0			0	0		
g13904	Scaffolds_4	+	3	2			0	1208520	1208763	244	0	1205919	1206292
g10537	Scaffolds_28	+	1	0			0			0	0		
g14332	Scaffolds_4	+	2	1			0	2782205	2782404	200	0	2781918	2782068
g1343	Scaffolds_11	+	2	1			0	245812	246112	301	0	240827	241012
g174	Scaffolds_0	-	12	11			0			0	0	741093	741186
g15769	Scaffolds_8	-	2	1			0			0	0	1523887	1523999
g12259	Scaffolds_31	-	1	0	264905	264925	21			0	0		
g5105	Scaffolds_18	-	1	0			0			0	0		
g13594	Scaffolds_33	-	1	0	3069710	3069799	90			0	0		
g12084	Scaffolds_30	+	7	6			0	370755	371232	478	0	367003	367283
g15457	Scaffolds_8	-	1	0			0			0	0		
g2578	Scaffolds_14	+	1	0	1773778	1774920	1143			0	0		
g15502	Scaffolds_8	-	2	1	582185	582797	613			0	0	568626	568682
g10257	Scaffolds_26	-	1	0			0			0	0		
g11042	Scaffolds_29	+	5	4			0	1679450	1679557	108	0	1676672	1676944
g11063	Scaffolds_29	+	1	0			0			0	0		
g15693	Scaffolds_8	+	1	0			0			0	0		
g1554	Scaffolds_11	-	1	0			0			0	0		
g9941	Scaffolds_26	+	1	0			0			0	0		
g2259	Scaffolds_14	-	1	0			0			0	0		
g5974	Scaffolds_19	-	1	0	2228150	2228511	362			0	0		
g15737	Scaffolds_8	-	2	1	1432194	1432632	439			0	0	1421644	1421715
g9917	Scaffolds_26	+	1	0			0	699569	699826	258	0		
g12704	Scaffolds_32	-	3	2			0			0	0	578144	578233
g15920	Scaffolds_9	-	2	1			0			0	0	341805	341868
g10585	Scaffolds_28	+	3	2			0	966092	966417	326	0	964903	965006
g11300	Scaffolds_29	+	1	0			0			0	0		
g2555	Scaffolds_14	+	1	0			0			0	0		
g11134	Scaffolds_29	-	1	0			0			0	0		
g3451	Scaffolds_16	-	4	3	388179	388379	201			0	0	386099	386841
g8517	Scaffolds_23	+	1	0			0			0	0		
g9880	Scaffolds_26	-	1	0	557383	557446	64			0	0		
g12289	Scaffolds_31	+	1	0			0	379976	380033	58	0		
g11022	Scaffolds_29	+	1	0			0			0	0		
g4700	Scaffolds_18	-	1	0	1700841	1700913	73			0	0		
g9438	Scaffolds_25	-	1	0	413984	414078	95			0	0		
g13692	Scaffolds_4	-	2	1	332255	332296	42			0	0	331821	332194
g35	Scaffolds_0	+	1	0			0	221469	222361	893	0		
g13439	Scaffolds_33	+	1	0			0	2462560	2462663	104	0		
g2486	Scaffolds_14	-	1	0			0			0	0		
g10312	Scaffolds_27	+	1	0			0			0	0		
g11881	Scaffolds_3	-	1	0			0			0	0		
g7997	Scaffolds_22	+	1	0			0			0	0		
g15922	Scaffolds_9	+	1	0			0			0	0		
g9582	Scaffolds_25	+	1	0			0			0	0		
g14039	Scaffolds_4	+	5	4			0	1700362	1701202	841	0	1698654	1698909
g8912	Scaffolds_24	+	1	0			0			0	0		
g11254	Scaffolds_29	-	1	0			0			0	0		
g1075	Scaffolds_10	-	1	0			0			0	0		
g15339	Scaffolds_7	-	1	0			0			0	0		
g6430	Scaffolds_20	-	1	0			0			0	0		
g10990	Scaffolds_29	-	2	1			0			0	0	1511577	1512407
g5973	Scaffolds_19	+	2	1			0			0	0	2219306	2220267
g8769	Scaffolds_23	-	3	2			0			0	0	1757798	1758005
g658	Scaffolds_1	+	1	0			0			0	0		
g7372	Scaffolds_21	+	1	0			0			0	0		
g6254	Scaffolds_2	+	4	3			0	786923	787881	959	0	781454	781814
g9558	Scaffolds_25	+	1	0			0	877132	877592	461	0		
g4329	Scaffolds_18	-	1	0	323412	323450	39			0	0		
g15283	Scaffolds_7	+	1	0			0			0	0		
g9721	Scaffolds_25	-	1	0			0			0	0		
g9531	Scaffolds_25	+	1	0			0			0	0		
g9135	Scaffolds_24	+	1	0			0	1039049	1039284	236	0		
g13935	Scaffolds_4	-	3	2	1324165	1324270	106			0	0	1323001	1323146
g3657	Scaffolds_16	-	1	0			0			0	0		
g319	Scaffolds_0	-	1	0			0			0	0		
g8075	Scaffolds_22	+	1	0			0			0	0		
g12626	Scaffolds_32	+	2	1			0	333792	334273	482	0	331999	332360
g4843	Scaffolds_18	-	1	0			0			0	0		
g90	Scaffolds_0	-	1	0			0			0	0		
g7563	Scaffolds_21	+	5	4			0	2004374	2004425	52	0	2001697	2001825
g8026	Scaffolds_22	-	1	0			0			0	0		
g13481	Scaffolds_33	-	2	1			0			0	0	2618979	2619191
g7155	Scaffolds_21	-	1	0	503585	503657	73			0	0		
g4401	Scaffolds_18	+	1	0			0			0	0		
g2767	Scaffolds_15	-	1	0			0			0	0		
g9191	Scaffolds_24	+	1	0			0			0	0		
g5783	Scaffolds_19	+	1	0			0	1605613	1606432	820	0		
g11065	Scaffolds_29	+	3	2			0	1772175	1772530	356	0	1766283	1770626
g10413	Scaffolds_28	-	1	0			0			0	0		
g4452	Scaffolds_18	-	3	2			0			0	0	803742	803864
g10572	Scaffolds_28	-	1	0			0			0	0		
g3691	Scaffolds_16	+	3	2			0	1183126	1183214	89	0	1182215	1182329
g10398	Scaffolds_28	-	1	0			0			0	0		
g9882	Scaffolds_26	-	1	0	563507	566515	3009			0	0		
g12614	Scaffolds_32	+	1	0			0	295351	296309	959	0		
g11730	Scaffolds_3	+	1	0			0	915119	915250	132	0		
g5315	Scaffolds_19	+	1	0			0			0	0		
g15001	Scaffolds_6	+	1	0			0			0	0		
g2694	Scaffolds_15	+	2	1			0			0	0	408521	409170
g2258	Scaffolds_14	+	1	0			0			0	0		
g6005	Scaffolds_19	-	1	0			0			0	0		
g11501	Scaffolds_3	+	1	0			0			0	0		
g14927	Scaffolds_5	+	1	0			0			0	0		
g7211	Scaffolds_21	+	1	0			0			0	0		
g10498	Scaffolds_28	+	3	2			0	620842	620936	95	0	618764	618806
g13864	Scaffolds_4	+	1	0			0			0	0		
g12963	Scaffolds_33	-	2	1			0			0	0	601674	602322
g12123	Scaffolds_30	-	1	0	476834	477056	223			0	0		
g2250	Scaffolds_14	-	1	0	650341	650505	165			0	0		
g5251	Scaffolds_18	+	1	0			0			0	0		
g16043	Scaffolds_9	-	1	0			0			0	0		
g14644	Scaffolds_5	+	2	1	223237	235880	12644			0	1	235309	235841
g6844	Scaffolds_20	+	1	0			0	1528143	1528197	55	0		
g402	Scaffolds_0	-	1	0			0			0	0		
g159	Scaffolds_0	+	2	1			0	693234	695197	1964	0	692870	693204
g8539	Scaffolds_23	-	1	0			0			0	0		
g7486	Scaffolds_21	-	3	2	1677219	1678403	1185			0	0	1676382	1676422
g7595	Scaffolds_21	+	1	0			0			0	0		
g9762	Scaffolds_26	-	1	0			0			0	0		
g10475	Scaffolds_28	-	1	0			0			0	0		
g9147	Scaffolds_24	+	1	0			0	1124692	1125178	487	0		
g235	Scaffolds_0	+	1	0			0			0	0		
g12838	Scaffolds_33	+	1	0			0			0	0		
g3039	Scaffolds_15	+	1	0			0	1787512	1787971	460	0		
g12563	Scaffolds_32	+	1	0			0			0	0		
g6671	Scaffolds_20	-	2	1			0			0	0	856638	856681
g14185	Scaffolds_4	-	1	0			0			0	0		
g2115	Scaffolds_14	-	3	2	167655	167742	88			0	0	166648	166957
g5785	Scaffolds_19	-	2	1	1608747	1609264	518			0	0	1607727	1607968
g10356	Scaffolds_27	-	1	0			0			0	0		
g7796	Scaffolds_22	-	2	1			0			0	0	103448	104284
g278	Scaffolds_0	-	2	1	1127880	1127932	53			0	0	1127541	1127876
g16053	Scaffolds_9	+	3	2			0	778254	778490	237	0	776986	777069
g7687	Scaffolds_21	-	1	0			0			0	0		
g1625	Scaffolds_11	-	6	5			0			0	0	1355357	1355625
g10764	Scaffolds_29	-	3	2	615194	615241	48			0	0	614247	614467
g11940	Scaffolds_3	+	3	2			0	1706901	1707335	435	0	1705510	1705596
g13028	Scaffolds_33	+	3	2			0	835411	835455	45	0	834309	834902
g14254	Scaffolds_4	+	2	1			0			0	0	2494871	2495668
g7420	Scaffolds_21	+	1	0			0			0	0		
g5470	Scaffolds_19	-	2	1			0			0	0	554610	554974
g3821	Scaffolds_17	+	1	0			0			0	0		
g10554	Scaffolds_28	-	1	0	830436	830477	42			0	0		
g11195	Scaffolds_29	+	1	0			0			0	0		
g9603	Scaffolds_25	+	2	1			0	1033400	1034207	808	0	1033318	1033373
g7685	Scaffolds_21	+	3	2			0	2524432	2524667	236	0	2519783	2519893
g1748	Scaffolds_12	+	1	0			0			0	0		
g995	Scaffolds_10	+	1	0			0			0	0		
g4938	Scaffolds_18	+	2	1			0	2525638	2525843	206	0	2524022	2524764
g12779	Scaffolds_32	-	1	0			0			0	0		
g3954	Scaffolds_17	+	1	0			0			0	0		
g5200	Scaffolds_18	-	2	1	3553213	3554541	1329			0	0	3551748	3551981
g9094	Scaffolds_24	-	2	1			0			0	0	884953	885041
g9184	Scaffolds_24	-	1	0			0			0	0		
g3665	Scaffolds_16	+	1	0			0			0	0		
g1531	Scaffolds_11	+	2	1			0			0	0	989992	990038
g4621	Scaffolds_18	-	1	0			0			0	0		
g6600	Scaffolds_20	+	4	3			0	589160	589215	56	0	582813	582890
g2418	Scaffolds_14	-	1	0	1237628	1238245	618			0	0		
g69	Scaffolds_0	-	2	1	336166	336206	41			0	0	335880	335963
g8460	Scaffolds_23	-	1	0	480613	480978	366			0	0		
g6359	Scaffolds_2	+	1	0			0			0	0		
g3711	Scaffolds_16	+	1	0			0			0	0		
g14354	Scaffolds_4	-	2	1			0			0	0	2957677	2958432
g13137	Scaffolds_33	+	2	1			0			0	0	1238751	1239128
g2342	Scaffolds_14	-	3	2	1000409	1000572	164			0	0	998640	998810
g2723	Scaffolds_15	-	1	0			0			0	0		
g12052	Scaffolds_30	-	1	0			0			0	0		
g9455	Scaffolds_25	+	1	0			0			0	0		
g15499	Scaffolds_8	+	1	0			0			0	0		
g1949	Scaffolds_13	+	2	1			0	742659	742750	92	0	742185	742404
g13328	Scaffolds_33	+	1	0			0			0	0		
g3381	Scaffolds_16	+	1	0			0			0	0		
g13553	Scaffolds_33	-	1	0	2906510	2906884	375			0	0		
g13719	Scaffolds_4	-	1	0			0			0	0		
g13587	Scaffolds_33	+	1	0			0			0	0		
g10592	Scaffolds_28	-	1	0			0			0	0		
g14881	Scaffolds_5	-	1	0			0			0	0		
g9761	Scaffolds_26	-	3	2			0			0	0	159886	160012
g8380	Scaffolds_23	-	1	0			0			0	0		
g11517	Scaffolds_3	-	1	0			0			0	0		
g3282	Scaffolds_15	-	1	0			0			0	0		
g9843	Scaffolds_26	-	1	0			0			0	0		
g14665	Scaffolds_5	-	5	4			0			0	0	291192	291343
g15302	Scaffolds_7	-	1	0			0			0	0		
g7001	Scaffolds_20	-	1	0	2103236	2103277	42			0	0		
g10053	Scaffolds_26	+	4	3			0	1224152	1224383	232	0	1219272	1219576
g12628	Scaffolds_32	+	2	1			0			0	0	337906	338234
g6642	Scaffolds_20	-	3	2			0			0	0	728226	728659
g699	Scaffolds_1	-	1	0	805564	805868	305			0	0		
g7110	Scaffolds_21	+	2	1			0			0	0	293758	294515
g3404	Scaffolds_16	-	1	0			0			0	0		
g13131	Scaffolds_33	-	1	0			0			0	0		
g3167	Scaffolds_15	-	8	7			0			0	0	2322884	2322987
g7317	Scaffolds_21	+	2	1			0	1068282	1068773	492	0	1067564	1067908
g2279	Scaffolds_14	+	4	3			0	760303	760510	208	0	757507	758249
g12128	Scaffolds_30	+	2	1			0			0	0	495795	496768
g7903	Scaffolds_22	+	3	2			0	496002	496441	440	0	494334	494420
g9654	Scaffolds_25	-	3	2			0			0	0	1210713	1210844
g4481	Scaffolds_18	+	1	0			0			0	0		
g5630	Scaffolds_19	-	1	0			0			0	0		
g10111	Scaffolds_26	+	1	0			0			0	0		
g15935	Scaffolds_9	+	2	1			0	410347	410536	190	0	409902	410283
g10737	Scaffolds_29	+	1	0			0	518318	518371	54	0		
g9355	Scaffolds_25	-	1	0			0			0	0		
g5686	Scaffolds_19	-	1	0			0			0	0		
g11348	Scaffolds_29	-	1	0			0			0	0		
g15404	Scaffolds_8	+	1	0			0			0	0		
g11484	Scaffolds_3	+	5	4			0	88430	88521	92	0	87184	87274
g11416	Scaffolds_29	+	1	0			0			0	0		
g14736	Scaffolds_5	-	8	7	597220	597678	459			0	0	592702	592847
g15066	Scaffolds_6	+	1	0			0			0	0		
g5237	Scaffolds_18	-	1	0	3720467	3720503	37			0	0		
g10212	Scaffolds_26	-	1	0			0			0	0		
g1220	Scaffolds_10	+	1	0			0	1424330	1424664	335	0		
g14243	Scaffolds_4	+	1	0			0			0	0		
g4334	Scaffolds_18	+	1	0			0			0	0		
g1479	Scaffolds_11	+	1	0			0			0	0		
g8481	Scaffolds_23	+	2	1			0	538791	538896	106	0	537796	538118
g4202	Scaffolds_17	+	1	0			0			0	0		
g6395	Scaffolds_2	-	2	1			0			0	0	1382168	1383391
g665	Scaffolds_1	-	6	5			0			0	0	711741	711795
g5058	Scaffolds_18	+	2	1			0	2913568	2913650	83	0	2909987	2910062
g5565	Scaffolds_19	+	1	0			0			0	0		
g3243	Scaffolds_15	-	1	0			0			0	0		
g7344	Scaffolds_21	+	25	24			0			0	0	1147851	1147931
g3935	Scaffolds_17	-	4	3			0			0	0	589519	589658
g14723	Scaffolds_5	-	1	0	543244	543310	67			0	0		
g11554	Scaffolds_3	+	1	0			0			0	0		
g10035	Scaffolds_26	-	1	0	1158581	1158623	43			0	0		
g1332	Scaffolds_11	+	1	0			0	191622	191726	105	0		
g14899	Scaffolds_5	+	6	5			0	1233895	1234308	414	0	1227959	1228039
g2301	Scaffolds_14	-	1	0			0			0	0		
g14101	Scaffolds_4	-	1	0			0			0	0		
g5869	Scaffolds_19	+	5	4			0	1892093	1892395	303	0	1890836	1890978
g10374	Scaffolds_27	-	1	0	382870	382967	98			0	0		
g2810	Scaffolds_15	+	1	0			0			0	0		
g1975	Scaffolds_13	+	1	0			0			0	0		
g13101	Scaffolds_33	+	4	3			0	1110389	1111100	712	0	1109191	1109339
g15500	Scaffolds_8	-	1	0			0			0	0		
g12078	Scaffolds_30	-	2	1	326442	327039	598			0	0	323759	323967
g9786	Scaffolds_26	+	1	0			0	240444	240662	219	0		
g1813	Scaffolds_13	+	2	1			0			0	0	237296	237887
g1914	Scaffolds_13	-	1	0			0			0	0		
g8634	Scaffolds_23	+	3	2			0			0	0	1188180	1189088
g14089	Scaffolds_4	+	1	0			0			0	0		
g8381	Scaffolds_23	+	2	1			0	196633	197088	456	0	184254	184305
g4541	Scaffolds_18	+	1	0			0			0	0		
g6660	Scaffolds_20	-	2	1			0			0	0	792299	792845
g5667	Scaffolds_19	-	4	3			0			0	0	1165406	1165506
g1497	Scaffolds_11	+	1	0			0			0	0		
g669	Scaffolds_1	+	1	0			0			0	0		
g10269	Scaffolds_26	-	4	3	1969395	1969580	186			0	0	1968725	1968776
g2547	Scaffolds_14	+	1	0			0	1691111	1691454	344	0		
g6082	Scaffolds_2	-	2	1			0			0	0	185474	186127
g14421	Scaffolds_4	+	2	1			0	3283455	3285836	2382	0	3280257	3280661
g4926	Scaffolds_18	-	1	0			0			0	0		
g7449	Scaffolds_21	+	1	0			0			0	0		
g2517	Scaffolds_14	-	6	5			0			0	0	1578573	1578631
g13301	Scaffolds_33	-	1	0	1882221	1882243	23			0	0		
g7583	Scaffolds_21	+	1	0			0			0	0		
g4616	Scaffolds_18	-	3	2			0			0	0	1358094	1358735
g4361	Scaffolds_18	+	2	1			0	425672	425754	83	0	412741	412790
g910	Scaffolds_10	-	2	1			0			0	0	316752	317214
g12281	Scaffolds_31	+	4	3			0	356557	356851	295	0	354286	354682
g6544	Scaffolds_20	-	1	0			0			0	0		
g8596	Scaffolds_23	-	1	0			0			0	0		
g5442	Scaffolds_19	+	1	0			0			0	0		
g7291	Scaffolds_21	+	3	2			0	971611	971675	65	0	969747	969969
g3894	Scaffolds_17	-	6	5	453548	454416	869			0	0	449940	450028
g4059	Scaffolds_17	+	1	0			0			0	0		
g2963	Scaffolds_15	+	2	1			0	1503758	1503836	79	0	1501293	1501753
g948	Scaffolds_10	-	1	0			0			0	0		
g11415	Scaffolds_29	+	3	2			0	3043817	3043896	80	0	3042628	3043176
g1606	Scaffolds_11	-	1	0	1245305	1245956	652			0	0		
g4514	Scaffolds_18	-	1	0	1002004	1002090	87			0	0		
g15013	Scaffolds_6	+	1	0			0			0	0		
g5349	Scaffolds_19	+	5	4			0	193858	194008	151	0	192564	192631
g11170	Scaffolds_29	+	2	1			0	2175351	2175624	274	0	2175024	2175077
g8690	Scaffolds_23	+	1	0			0			0	0		
g4741	Scaffolds_18	-	1	0	1839951	1840409	459			0	0		
g6104	Scaffolds_2	+	6	5			0	275995	276070	76	0	274484	274599
g13204	Scaffolds_33	-	1	0			0			0	0		
g2698	Scaffolds_15	-	2	1			0			0	0	418495	419005
g4835	Scaffolds_18	+	4	3			0	2167537	2172498	4962	0	2164329	2164691
g3633	Scaffolds_16	+	1	0			0			0	0		
g9390	Scaffolds_25	+	1	0			0			0	0		
g4395	Scaffolds_18	-	2	1			0			0	0	540755	541009
g6494	Scaffolds_20	-	1	0			0			0	0		
g830	Scaffolds_1	-	2	1	1360641	1360936	296			0	0	1349513	1349554
g12258	Scaffolds_31	+	1	0			0			0	0		
g13981	Scaffolds_4	-	1	0	1482933	1483099	167			0	0		
g1061	Scaffolds_10	-	1	0			0			0	0		
g13628	Scaffolds_4	-	2	1	118404	118575	172			0	0	117493	117541
g13437	Scaffolds_33	+	3	2			0	2452903	2453060	158	0	2449449	2449750
g14608	Scaffolds_5	-	1	0			0			0	0		
g2645	Scaffolds_15	-	1	0			0			0	0		
g140	Scaffolds_0	-	2	1	591850	591914	65			0	0	591479	591588
g11023	Scaffolds_29	-	5	4			0			0	0	1623975	1624275
g4176	Scaffolds_17	+	1	0			0			0	0		
g9155	Scaffolds_24	-	4	3			0			0	0	1155677	1155720
g8576	Scaffolds_23	-	2	1			0			0	0	947002	947318
g5690	Scaffolds_19	+	1	0			0			0	0		
g3453	Scaffolds_16	+	5	4			0	394030	394121	92	0	392285	392906
g5854	Scaffolds_19	-	1	0	1845850	1845885	36			0	0		
g15894	Scaffolds_9	+	1	0			0			0	0		
g9047	Scaffolds_24	+	4	3			0	628170	629343	1174	0	620744	620889
g3674	Scaffolds_16	+	1	0			0			0	0		
g11548	Scaffolds_3	+	1	0			0			0	0		
g3124	Scaffolds_15	-	5	4			0			0	0	2124542	2124587
g4952	Scaffolds_18	+	2	1			0	2579976	2580547	572	0	2579535	2579672
g10132	Scaffolds_26	+	4	3			0	1478257	1478692	436	0	1457296	1457604
g4866	Scaffolds_18	+	2	1			0			0	0	2278472	2279082
g7510	Scaffolds_21	+	1	0			0			0	0		
g5856	Scaffolds_19	+	1	0			0			0	0		
g8483	Scaffolds_23	-	4	3	545847	546971	1125			0	0	543865	543930
g9579	Scaffolds_25	-	3	2			0			0	0	955479	955866
g15207	Scaffolds_7	+	2	1			0	20219	20502	284	0	18046	18290
g2695	Scaffolds_15	+	5	4			0	412501	412652	152	0	411325	411377
g4781	Scaffolds_18	-	1	0	1989357	1989375	19			0	0		
g1953	Scaffolds_13	-	2	1			0			0	0	749026	749473
g6694	Scaffolds_20	+	1	0			0			0	0		
g920	Scaffolds_10	-	1	0			0			0	0		
g5104	Scaffolds_18	-	1	0			0			0	0		
g1120	Scaffolds_10	-	1	0	1085143	1085216	74			0	0		
g15534	Scaffolds_8	-	3	2			0			0	0	656866	657021
g15909	Scaffolds_9	-	1	0			0			0	0		
g4562	Scaffolds_18	-	1	0			0			0	0		
g7736	Scaffolds_21	-	1	0			0			0	0		
g12	Scaffolds_0	-	1	0			0			0	0		
g4499	Scaffolds_18	+	1	0			0			0	0		
g4898	Scaffolds_18	+	1	0			0			0	0		
g15688	Scaffolds_8	+	1	0			0	1197410	1197765	356	0		
g14888	Scaffolds_5	+	1	0			0			0	0		
g6237	Scaffolds_2	-	1	0			0			0	0		
g14994	Scaffolds_6	+	1	0			0	209751	209892	142	0		
g9592	Scaffolds_25	+	3	2			0	998941	999009	69	0	996770	997517
g1962	Scaffolds_13	-	2	1			0			0	0	776110	776894
g9219	Scaffolds_24	-	3	2			0			0	0	1468963	1469644
g5064	Scaffolds_18	+	2	1			0			0	0	2934732	2934867
g8457	Scaffolds_23	-	1	0			0			0	0		
g4714	Scaffolds_18	-	1	0			0			0	0		
g10641	Scaffolds_29	-	1	0			0			0	0		
g4445	Scaffolds_18	-	3	2			0			0	0	767261	768347
g13219	Scaffolds_33	+	1	0			0			0	0		
g12973	Scaffolds_33	-	1	0			0			0	0		
g3815	Scaffolds_17	-	1	0			0			0	0		
g5369	Scaffolds_19	+	2	1			0			0	0	239286	239566
g11864	Scaffolds_3	-	1	0			0			0	0		
g9556	Scaffolds_25	-	1	0			0			0	0		
g2523	Scaffolds_14	-	5	4			0			0	0	1601221	1601325
g13591	Scaffolds_33	-	4	3	3058682	3058748	67			0	0	3056969	3057179
g1770	Scaffolds_13	-	4	3			0			0	0	87366	87439
g3398	Scaffolds_16	+	1	0			0			0	0		
g6908	Scaffolds_20	+	1	0			0			0	0		
g15140	Scaffolds_6	+	1	0			0	746582	746746	165	0		
