query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g18.t1	40483.S8E656	1.57e-36	140.0	COG0596@1|root,KOG4178@2759|Eukaryota,38JR6@33154|Opisthokonta,3NY1X@4751|Fungi,3V0RX@5204|Basidiomycota,224M4@155619|Agaricomycetes,3H1JU@355688|Agaricomycetes incertae sedis	4751|Fungi	I	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1,Abhydrolase_6,Hydrolase_4
g20.t1	653948.CCA24129	6.39e-36	140.0	293KV@1|root,2RAHN@2759|Eukaryota	2759|Eukaryota	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g22.t1	65071.PYU1_T003000	3.23e-142	431.0	KOG2037@1|root,KOG2037@2759|Eukaryota,1MEIF@121069|Pythiales	121069|Pythiales	S	Atlastin. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	GBP
g23.t1	296587.XP_002506019.1	2.33e-25	122.0	COG2319@1|root,KOG2106@2759|Eukaryota	2759|Eukaryota	O	microtubule binding	-	-	-	ko:K18595,ko:K18598	-	-	-	-	ko00000,ko04812	-	-	-	EF-hand_7,EF-hand_8,HELP,WD40
g24.t1	3649.evm.model.supercontig_82.63	1.54e-27	112.0	KOG3252@1|root,KOG3252@2759|Eukaryota,3843P@33090|Viridiplantae,3GV53@35493|Streptophyta,3HZE2@3699|Brassicales	35493|Streptophyta	J	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	-	-	-	ko:K15028	-	-	-	-	ko00000,ko03012	-	-	-	CSN8_PSD8_EIF3K
g26.t1	2880.D7FVD1	1.08e-63	252.0	KOG4341@1|root,KOG4341@2759|Eukaryota	2759|Eukaryota	KLT	modulation by host of viral RNA genome replication	-	-	-	ko:K10268	-	-	-	-	ko00000,ko04121	-	-	-	F-box,F-box-like,LRR_6
g27.t1	44056.XP_009038934.1	9.03e-09	70.1	KOG0032@1|root,KOG4341@1|root,KOG0032@2759|Eukaryota,KOG4341@2759|Eukaryota	2759|Eukaryota	KLT	modulation by host of viral RNA genome replication	-	-	2.7.11.1	ko:K17530	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	EF-hand_7
g28.t1	157072.XP_008874205.1	1.87e-132	384.0	COG1028@1|root,KOG0725@2759|Eukaryota	2759|Eukaryota	IQ	oxidation-reduction process	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
g29.t1	5022.CBX93378	1.8e-08	66.6	KOG3607@1|root,KOG3607@2759|Eukaryota,38B6W@33154|Opisthokonta,3NTZ6@4751|Fungi,3QJBF@4890|Ascomycota,1ZZQT@147541|Dothideomycetes,4KF2I@92860|Pleosporales	4751|Fungi	O	Homologues of snake disintegrins	ADM-B	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005619,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006508,GO:0006807,GO:0007049,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0009272,GO:0009277,GO:0009653,GO:0009987,GO:0010927,GO:0012505,GO:0016020,GO:0016043,GO:0016787,GO:0019538,GO:0019953,GO:0022402,GO:0022413,GO:0022414,GO:0022607,GO:0030154,GO:0030312,GO:0030435,GO:0030437,GO:0030476,GO:0031160,GO:0031505,GO:0031984,GO:0032502,GO:0032505,GO:0032989,GO:0034293,GO:0042175,GO:0042244,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043934,GO:0043935,GO:0044085,GO:0044238,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045229,GO:0046872,GO:0046914,GO:0048468,GO:0048646,GO:0048856,GO:0048869,GO:0051321,GO:0051704,GO:0070011,GO:0070590,GO:0070591,GO:0070726,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0071940,GO:0071944,GO:0098827,GO:0140096,GO:1901564,GO:1903046	-	-	-	-	-	-	-	-	-	-	Disintegrin,Pep_M12B_propep,Reprolysin_2,Reprolysin_4,Reprolysin_5
g31.t1	3067.XP_002950897.1	1.06e-10	77.0	2C8BZ@1|root,2S345@2759|Eukaryota,37Z2Z@33090|Viridiplantae,34JD3@3041|Chlorophyta	3041|Chlorophyta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g33.t1	981085.XP_010103228.1	3.59e-86	318.0	COG5022@1|root,COG5059@1|root,KOG0239@2759|Eukaryota,KOG4229@2759|Eukaryota,37JFC@33090|Viridiplantae,3G8W9@35493|Streptophyta,4JKKM@91835|fabids	35493|Streptophyta	Z	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	-	GO:0000166,GO:0000226,GO:0000902,GO:0000904,GO:0001578,GO:0003002,GO:0003674,GO:0003774,GO:0003777,GO:0003779,GO:0003824,GO:0005488,GO:0005509,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005819,GO:0005856,GO:0005871,GO:0005874,GO:0005875,GO:0005881,GO:0005938,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007154,GO:0007267,GO:0007275,GO:0007389,GO:0008017,GO:0008092,GO:0008150,GO:0008569,GO:0009524,GO:0009653,GO:0009888,GO:0009987,GO:0010026,GO:0010090,GO:0010091,GO:0015630,GO:0015631,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019899,GO:0019900,GO:0019901,GO:0023052,GO:0030154,GO:0030554,GO:0030863,GO:0030865,GO:0030981,GO:0031122,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032989,GO:0032991,GO:0036094,GO:0042623,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043531,GO:0043622,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0044877,GO:0045165,GO:0045168,GO:0046872,GO:0046983,GO:0048468,GO:0048629,GO:0048856,GO:0048869,GO:0051015,GO:0055028,GO:0071840,GO:0071944,GO:0072686,GO:0090558,GO:0090626,GO:0097159,GO:0097367,GO:0097435,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:0099568,GO:1901265,GO:1901363,GO:1990939	-	-	-	-	-	-	-	-	-	-	FERM_M,FERM_N,Kinesin,MyTH4
g34.t1	272952.HpaP807035	1.26e-14	87.4	KOG2168@1|root,KOG2168@2759|Eukaryota,3QDGV@4776|Peronosporales	4776|Peronosporales	D	Nup93/Nic96	-	-	-	ko:K14309	ko03013,map03013	M00427	-	-	ko00000,ko00001,ko00002,ko03019	1.I.1	-	-	Nic96
g35.t1	281687.CJA06132	4.42e-88	265.0	COG5078@1|root,KOG0417@2759|Eukaryota,38B6R@33154|Opisthokonta,3BBRF@33208|Metazoa,3CUBW@33213|Bilateria,40AIN@6231|Nematoda,1KVND@119089|Chromadorea,40UEB@6236|Rhabditida	33208|Metazoa	O	Belongs to the ubiquitin-conjugating enzyme family	eff	GO:0000003,GO:0000209,GO:0000278,GO:0000280,GO:0001654,GO:0001745,GO:0001751,GO:0001754,GO:0003006,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007399,GO:0007423,GO:0008150,GO:0008152,GO:0008356,GO:0009056,GO:0009057,GO:0009653,GO:0009887,GO:0009987,GO:0010498,GO:0016043,GO:0016322,GO:0016567,GO:0016740,GO:0017145,GO:0019538,GO:0019787,GO:0019827,GO:0019899,GO:0019941,GO:0019953,GO:0021700,GO:0022008,GO:0022402,GO:0022412,GO:0022414,GO:0022603,GO:0030154,GO:0030163,GO:0030182,GO:0030718,GO:0031145,GO:0031625,GO:0031647,GO:0032446,GO:0032501,GO:0032502,GO:0032504,GO:0036211,GO:0042078,GO:0042551,GO:0043161,GO:0043170,GO:0043412,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044389,GO:0044703,GO:0045595,GO:0045664,GO:0045676,GO:0046530,GO:0046532,GO:0048132,GO:0048232,GO:0048285,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048592,GO:0048609,GO:0048666,GO:0048699,GO:0048731,GO:0048749,GO:0048856,GO:0048869,GO:0050767,GO:0050789,GO:0050793,GO:0050794,GO:0051239,GO:0051276,GO:0051301,GO:0051321,GO:0051603,GO:0051704,GO:0051960,GO:0060284,GO:0061630,GO:0061631,GO:0061650,GO:0061659,GO:0065007,GO:0065008,GO:0070647,GO:0071695,GO:0071704,GO:0071840,GO:0090596,GO:0097039,GO:0098722,GO:0098727,GO:0098728,GO:0140013,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1903046,GO:2000026,GO:2000027	2.3.2.23	ko:K06689	ko04013,ko04120,ko04141,ko04624,map04013,map04120,map04141,map04624	-	-	-	ko00000,ko00001,ko01000,ko04121	-	-	-	UQ_con
g38.t1	36331.EPrPI00000021637	2.28e-67	230.0	COG5210@1|root,KOG1102@2759|Eukaryota,1MC3I@121069|Pythiales	121069|Pythiales	S	Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	RabGAP-TBC
g39.t1	1203554.HMPREF1476_01631	3.82e-06	59.7	COG0715@1|root,COG4191@1|root,COG0715@2|Bacteria,COG4191@2|Bacteria,1RCM9@1224|Proteobacteria,2W0CA@28216|Betaproteobacteria,4PQGM@995019|Sutterellaceae	28216|Betaproteobacteria	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,Phosphonate-bd
g40.t1	157072.XP_008863567.1	3.04e-110	322.0	COG1100@1|root,KOG0098@2759|Eukaryota	2759|Eukaryota	F	GTPase activity	-	GO:0000139,GO:0000331,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005794,GO:0006810,GO:0006897,GO:0006909,GO:0006950,GO:0006970,GO:0008150,GO:0008219,GO:0009628,GO:0009987,GO:0012505,GO:0016020,GO:0016192,GO:0030587,GO:0031090,GO:0031164,GO:0031410,GO:0031982,GO:0031984,GO:0032502,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044433,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051703,GO:0051704,GO:0090702,GO:0097708,GO:0098588,GO:0098657,GO:0098791,GO:0098805,GO:0099120	-	ko:K07877	ko04152,map04152	-	-	-	ko00000,ko00001,ko04031,ko04131,ko04147	-	-	-	Ras,Roc
g41.t1	2880.D8LJA1	1.83e-183	540.0	COG0072@1|root,KOG2472@2759|Eukaryota	2759|Eukaryota	J	phenylalanine-tRNA ligase activity	-	-	6.1.1.20	ko:K01890	ko00970,map00970	M00359,M00360	R03660	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	B3_4,B5
g44.t1	36331.EPrPI00000022840	5.84e-11	74.7	2D9B0@1|root,2S5DB@2759|Eukaryota,1MBH8@121069|Pythiales	121069|Pythiales	S	function. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	-
g47.t1	112098.XP_008613979.1	6.66e-150	434.0	COG0473@1|root,KOG0786@2759|Eukaryota	2759|Eukaryota	CE	3-isopropylmalate dehydrogenase activity	LEU2	GO:0003674,GO:0003824,GO:0003862,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006081,GO:0006082,GO:0006097,GO:0006520,GO:0006551,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0032787,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046487,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.85,3.6.3.14	ko:K00052,ko:K02145	ko00190,ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,ko04145,ko04150,ko04721,ko04966,ko05110,ko05120,ko05323,map00190,map00290,map00660,map01100,map01110,map01210,map01230,map04145,map04150,map04721,map04966,map05110,map05120,map05323	M00160,M00432,M00535	R00994,R04426,R10052	RC00084,RC00417,RC03036	br01601,ko00000,ko00001,ko00002,ko01000	3.A.2.2	-	-	Iso_dh
g49.t1	192875.XP_004363800.1	1.11e-70	239.0	COG0647@1|root,KOG2882@2759|Eukaryota,39ZA7@33154|Opisthokonta	33154|Opisthokonta	P	Haloacid dehalogenase-like hydrolase	-	-	-	-	-	-	-	-	-	-	-	-	Hydrolase_6,Hydrolase_like
g50.t1	2880.D7FQE8	6.99e-68	227.0	COG0563@1|root,KOG3078@2759|Eukaryota	2759|Eukaryota	F	adenylate kinase activity	-	-	2.7.4.3	ko:K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	R00127,R01547,R11319	RC00002	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ADK
g52.t1	2903.EOD19740	9.33e-134	410.0	28J77@1|root,2QRJJ@2759|Eukaryota	2759|Eukaryota	S	Protein of unknown function (DUF2009)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2009
g56.t1	314230.DSM3645_22611	6.02e-31	133.0	COG0116@1|root,COG1092@1|root,COG0116@2|Bacteria,COG1092@2|Bacteria,2IX2D@203682|Planctomycetes	203682|Planctomycetes	L	THUMP	-	-	-	ko:K07444	-	-	-	-	ko00000,ko01000	-	-	-	Methyltrans_SAM,THUMP,UPF0020
g57.t1	109760.SPPG_05399T0	1.02e-27	132.0	2CXYJ@1|root,2S0RD@2759|Eukaryota,3AIQI@33154|Opisthokonta,3PCZ9@4751|Fungi	4751|Fungi	S	PAS domain S-box protein	-	-	-	-	-	-	-	-	-	-	-	-	PAS_9
g59.t1	36331.EPrPI00000025272	9.72e-42	165.0	KOG0324@1|root,KOG0324@2759|Eukaryota,1MFU6@121069|Pythiales	121069|Pythiales	S	peptidase. Source PGD	-	-	-	-	-	-	-	-	-	-	-	-	PUL,Peptidase_C97
g60.t1	159749.K0RBH2	5.99e-09	68.2	2E1UE@1|root,2S94D@2759|Eukaryota,2XC4F@2836|Bacillariophyta	2836|Bacillariophyta	S	eIF4-gamma/eIF5/eIF2-epsilon	-	-	-	-	-	-	-	-	-	-	-	-	W2
g61.t1	400682.PAC_15727795	4.56e-68	236.0	COG3119@1|root,KOG3867@2759|Eukaryota,38DVH@33154|Opisthokonta,3BAP3@33208|Metazoa	33208|Metazoa	P	sulfuric ester hydrolase activity	-	-	-	-	-	-	-	-	-	-	-	-	Sulfatase
g63.t1	502025.Hoch_4566	1.27e-46	187.0	COG4325@1|root,COG4325@2|Bacteria,1QKIM@1224|Proteobacteria,43411@68525|delta/epsilon subdivisions,2X4JG@28221|Deltaproteobacteria,2YZ4U@29|Myxococcales	28221|Deltaproteobacteria	S	Predicted membrane protein (DUF2254)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2254
g64.t1	653948.CCA14096	9.99e-146	418.0	KOG3886@1|root,KOG3886@2759|Eukaryota	2759|Eukaryota	T	interleukin-4 receptor binding	RRAGB	GO:0000003,GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0001101,GO:0001558,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005764,GO:0005768,GO:0005770,GO:0005773,GO:0005774,GO:0005829,GO:0006139,GO:0006325,GO:0006342,GO:0006348,GO:0006351,GO:0006355,GO:0006360,GO:0006383,GO:0006464,GO:0006725,GO:0006807,GO:0006810,GO:0006811,GO:0006817,GO:0006820,GO:0006950,GO:0006995,GO:0006996,GO:0007049,GO:0007050,GO:0007154,GO:0007165,GO:0007264,GO:0007275,GO:0007568,GO:0008104,GO:0008150,GO:0008152,GO:0008219,GO:0008340,GO:0009058,GO:0009059,GO:0009267,GO:0009605,GO:0009719,GO:0009889,GO:0009890,GO:0009892,GO:0009894,GO:0009895,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009991,GO:0010008,GO:0010033,GO:0010243,GO:0010259,GO:0010467,GO:0010468,GO:0010506,GO:0010507,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010647,GO:0010648,GO:0012505,GO:0015698,GO:0016020,GO:0016032,GO:0016043,GO:0016070,GO:0016241,GO:0016458,GO:0016462,GO:0016567,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0018130,GO:0019001,GO:0019048,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019899,GO:0022402,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030307,GO:0031090,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031329,GO:0031330,GO:0031410,GO:0031625,GO:0031667,GO:0031668,GO:0031669,GO:0031902,GO:0031982,GO:0032006,GO:0032007,GO:0032008,GO:0032446,GO:0032501,GO:0032502,GO:0032504,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032774,GO:0032991,GO:0033036,GO:0033365,GO:0033554,GO:0034198,GO:0034448,GO:0034613,GO:0034641,GO:0034645,GO:0034654,GO:0035556,GO:0035639,GO:0035821,GO:0036094,GO:0036211,GO:0040008,GO:0040014,GO:0040018,GO:0040029,GO:0042221,GO:0042268,GO:0042594,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043170,GO:0043200,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043562,GO:0044003,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044389,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0045786,GO:0045814,GO:0045892,GO:0045919,GO:0045927,GO:0045934,GO:0046483,GO:0046982,GO:0046983,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048638,GO:0048639,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051020,GO:0051094,GO:0051128,GO:0051171,GO:0051172,GO:0051179,GO:0051219,GO:0051234,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051276,GO:0051641,GO:0051701,GO:0051704,GO:0051716,GO:0051726,GO:0051817,GO:0060255,GO:0065007,GO:0070647,GO:0070727,GO:0070887,GO:0071229,GO:0071230,GO:0071310,GO:0071417,GO:0071495,GO:0071496,GO:0071704,GO:0071840,GO:0072657,GO:0072665,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:0098852,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901576,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:1902533,GO:1902679,GO:1903432,GO:1903506,GO:1903507,GO:1903778,GO:1904262,GO:1904263,GO:1990131,GO:1990253,GO:1990928,GO:2000112,GO:2000113,GO:2001141	-	ko:K16185	ko04140,ko04150,map04140,map04150	-	-	-	ko00000,ko00001	-	-	-	Gtr1_RagA
